Start Time, Sun Jul 20 22:56:57 GMT-0400 2008
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 125.431807
Real Time (s), 125.52347
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.755919873714447, 0
2, 1.511839747428894, 0
3, 2.267759621143341, 0
4, 3.023679494857788, 0
5, 3.779599368572235, 0
6, 4.535519242286682, 0
7, 5.291439116001129, 0
8, 6.047358989715576, 0
9, 6.803278863430023, 0
10, 7.55919873714447, 2
11, 8.315118610858917, 4
12, 9.071038484573364, 5
13, 9.826958358287811, 8
14, 10.582878232002258, 5
15, 11.338798105716705, 3
16, 12.094717979431152, 2
17, 12.8506378531456, 4
18, 13.606557726860046, 4
19, 14.362477600574493, 2
20, 15.11839747428894, 7
21, 15.874317348003387, 3
22, 16.630237221717834, 7
23, 17.38615709543228, 6
24, 18.14207696914673, 9
25, 18.897996842861176, 9
26, 19.653916716575623, 6
27, 20.40983659029007, 2
28, 21.165756464004517, 1
29, 21.921676337718964, 8
30, 22.67759621143341, 4
31, 23.433516085147858, 8
32, 24.189435958862305, 8
33, 24.94535583257675, 5
34, 25.7012757062912, 8
35, 26.457195580005646, 4
36, 27.213115453720093, 3
37, 27.96903532743454, 3
38, 28.724955201148987, 4
39, 29.480875074863434, 7
40, 30.23679494857788, 10
41, 30.992714822292328, 8
42, 31.748634696006775, 3
43, 32.50455456972122, 5
44, 33.26047444343567, 8
45, 34.016394317150116, 5
46, 34.77231419086456, 9
47, 35.52823406457901, 8
48, 36.28415393829346, 5
49, 37.040073812007904, 6
50, 37.79599368572235, 11
51, 38.5519135594368, 5
52, 39.307833433151245, 6
53, 40.06375330686569, 5
54, 40.81967318058014, 11
55, 41.575593054294586, 5
56, 42.33151292800903, 5
57, 43.08743280172348, 4
58, 43.84335267543793, 5
59, 44.599272549152374, 4
60, 45.35519242286682, 4
61, 46.11111229658127, 12
62, 46.867032170295715, 6
63, 47.62295204401016, 4
64, 48.37887191772461, 9
65, 49.134791791439056, 7
66, 49.8907116651535, 12
67, 50.64663153886795, 4
68, 51.4025514125824, 6
69, 52.158471286296844, 8
70, 52.91439116001129, 6
71, 53.67031103372574, 9
72, 54.426230907440186, 5
73, 55.18215078115463, 11
74, 55.93807065486908, 8
75, 56.69399052858353, 4
76, 57.449910402297974, 7
77, 58.20583027601242, 7
78, 58.96175014972687, 7
79, 59.717670023441315, 7
80, 60.47358989715576, 11
81, 61.22950977087021, 11
82, 61.985429644584656, 11
83, 62.7413495182991, 15
84, 63.49726939201355, 5
85, 64.253189265728, 11
86, 65.00910913944244, 6
87, 65.76502901315689, 14
88, 66.52094888687134, 14
89, 67.27686876058578, 7
90, 68.03278863430023, 14
91, 68.78870850801468, 8
92, 69.54462838172913, 19
